open,close,high,low,datetime,datetime
13863.44004858407,13861.12730211292,13865.07750504014,13860.88980032569,1684777500000,2023-05-22 17:45:00
13861.84893336723,13862.36459076307,13862.42141661708,13860.05671485683,1684777560000,2023-05-22 17:46:00
13862.25816137718,13859.20825591602,13862.49408613263,13858.14140041707,1684777620000,2023-05-22 17:47:00
13859.44851584974,13859.74775012619,13859.74775012619,13857.9608999406,1684777680000,2023-05-22 17:48:00
13860.3221648078,13860.13407194304,13861.94468009534,13858.72621277165,1684777740000,2023-05-22 17:49:00
13860.0027761677,13860.74143441695,13860.77670578334,13858.54104241124,1684777800000,2023-05-22 17:50:00
13860.64597953792,13856.66156667516,13860.64597953792,13856.54085006742,1684777860000,2023-05-22 17:51:00
13856.83954055197,13859.71764675312,13859.71764675312,13856.62472548461,1684777920000,2023-05-22 17:52:00
13859.70861884511,13857.60109611786,13860.18844887037,13857.31958675552,1684777980000,2023-05-22 17:53:00
13857.91351431194,13856.04285458305,13858.17977869563,13855.94065596913,1684778040000,2023-05-22 17:54:00
13855.68142592553,13855.61664808373,13855.89199806617,13854.35421563729,1684778100000,2023-05-22 17:55:00
13855.61914510813,13861.49937809089,13861.72322642276,13855.32568696212,1684778160000,2023-05-22 17:56:00
13861.49637641126,13857.53150149465,13861.64839777166,13857.53150149465,1684778220000,2023-05-22 17:57:00
13857.26686023733,13854.3351271768,13857.26686023733,13852.36751163839,1684778280000,2023-05-22 17:58:00
13854.30381981153,13852.12000323981,13855.38079381993,13852.0464235606,1684778340000,2023-05-22 17:59:00
13851.96079375985,13851.29065421091,13851.96079375985,13849.90502780538,1684778400000,2023-05-22 18:00:00
13851.50876575931,13853.73001687804,13854.16738590033,13849.81751179827,1684778460000,2023-05-22 18:01:00
13853.60118583789,13856.11392667888,13857.35746699847,13852.55600957878,1684778520000,2023-05-22 18:02:00
13856.19342259859,13855.16974001713,13857.13942865532,13854.66279876965,1684778580000,2023-05-22 18:03:00
13855.11982040908,13856.34763602572,13857.38261743756,13854.986191645,1684778640000,2023-05-22 18:04:00
13856.44525202365,13855.33585921654,13856.66549602127,13855.33585921654,1684778700000,2023-05-22 18:05:00
13855.38103379219,13852.3105899321,13855.85345442798,13852.3105899321,1684778760000,2023-05-22 18:06:00
13852.27709350104,13854.49798314459,13854.55797362784,13851.09631592493,1684778820000,2023-05-22 18:07:00
13854.46305145285,13852.77220754984,13854.79377219376,13852.72145148205,1684778880000,2023-05-22 18:08:00
13852.62587897936,13855.9672636873,13855.9672636873,13852.14496298246,1684778940000,2023-05-22 18:09:00
13856.05335871073,13854.26891723618,13856.05335871073,13854.05507014146,1684779000000,2023-05-22 18:10:00
13854.05551746548,13855.13832560956,13855.18751907698,13852.95283413333,1684779060000,2023-05-22 18:11:00
13855.81810587704,13853.37743023766,13855.90482321913,13852.45744319182,1684779120000,2023-05-22 18:12:00
13853.31735629831,13849.5019572966,13854.13920410058,13849.38104898932,1684779180000,2023-05-22 18:13:00
13849.45236236306,13850.22043363138,13850.93424318005,13847.9679198197,1684779240000,2023-05-22 18:14:00
13850.20186217732,13850.61880797427,13852.11566504859,13849.25195775076,1684779300000,2023-05-22 18:15:00
13850.62832704836,13854.05895730639,13854.56513068473,13850.62832704836,1684779360000,2023-05-22 18:16:00
13854.08032750206,13858.16872069162,13858.51085633881,13854.08032750206,1684779420000,2023-05-22 18:17:00
13858.34809824435,13860.27325111173,13862.6004598755,13858.34809824435,1684779480000,2023-05-22 18:18:00
13860.34039818576,13860.21687107809,13860.97400037788,13859.29557460298,1684779540000,2023-05-22 18:19:00
13860.24467263065,13861.42629051345,13861.57223577676,13859.74016288543,1684779600000,2023-05-22 18:20:00
13861.40778787164,13860.59699217721,13863.39500740783,13860.59699217721,1684779660000,2023-05-22 18:21:00
13860.56825586894,13859.36853992553,13860.56825586894,13859.31107900817,1684779720000,2023-05-22 18:22:00
13859.45379011306,13859.82021597574,13860.38061777505,13859.09249972182,1684779780000,2023-05-22 18:23:00
13860.13875418816,13858.83007382667,13862.21760537209,13858.66898260074,1684779840000,2023-05-22 18:24:00
13858.79808950726,13860.00086710221,13860.42833371371,13858.68199455959,1684779900000,2023-05-22 18:25:00
13859.77369103622,13860.97025582506,13861.2154943561,13857.95101584004,1684779960000,2023-05-22 18:26:00
13860.93487447427,13863.80321994676,13863.89025865926,13860.47084300805,1684780020000,2023-05-22 18:27:00
13863.8927493788,13865.83584159216,13865.83584159216,13862.96384088687,1684780080000,2023-05-22 18:28:00
13865.92270943475,13867.90282118343,13867.9292026656,13865.92270943475,1684780140000,2023-05-22 18:29:00
13868.57368708409,13866.40582727328,13868.76887517584,13865.87916333404,1684780200000,2023-05-22 18:30:00
13866.41450064176,13867.99989898407,13868.21815966389,13866.12207990262,1684780260000,2023-05-22 18:31:00
13868.06507086539,13869.22851803474,13869.32256458907,13867.76317481549,1684780320000,2023-05-22 18:32:00
13869.22463224401,13868.73536557745,13869.47079416495,13868.09777073492,1684780380000,2023-05-22 18:33:00
13869.17466699266,13868.73535905795,13870.26812704392,13868.7238007458,1684780440000,2023-05-22 18:34:00
13868.71320488585,13864.59675239897,13868.71320488585,13864.59558859503,1684780500000,2023-05-22 18:35:00
13864.42539978013,13865.07568611057,13865.64884391125,13862.3701398407,1684780560000,2023-05-22 18:36:00
13865.05571807515,13863.67478038607,13865.05571807515,13861.79024654901,1684780620000,2023-05-22 18:37:00
13863.65962193981,13864.66962559372,13864.66962559372,13862.00833560897,1684780680000,2023-05-22 18:38:00
13864.66664821523,13864.28887375055,13864.66664821523,13863.17435782014,1684780740000,2023-05-22 18:39:00
13864.28022724445,13865.03785824239,13866.16379587703,13864.26806098299,1684780800000,2023-05-22 18:40:00
13865.01985447724,13866.65510045062,13866.98025389789,13863.40170931641,1684780860000,2023-05-22 18:41:00
13866.61447968389,13867.75956115484,13869.34609908442,13866.14609409046,1684780920000,2023-05-22 18:42:00
13867.75750505494,13867.19511576002,13867.75750505494,13865.70052722611,1684780980000,2023-05-22 18:43:00
13867.06894600961,13871.20955571044,13871.70960827312,13866.94203419633,1684781040000,2023-05-22 18:44:00
13871.40026388367,13869.16860120789,13871.58744607406,13869.16860120789,1684781100000,2023-05-22 18:45:00
13869.04697448748,13866.82615123536,13869.09188211873,13866.40957937621,1684781160000,2023-05-22 18:46:00
13867.39716036045,13867.97517006165,13868.17675008819,13867.05292334398,1684781220000,2023-05-22 18:47:00
13867.9454317619,13871.06839046786,13871.97753935499,13867.9454317619,1684781280000,2023-05-22 18:48:00
13870.97775506156,13872.8694321541,13872.96159986383,13870.74676867008,1684781340000,2023-05-22 18:49:00
13873.2812442738,13878.50759071856,13879.41093452705,13873.2812442738,1684781400000,2023-05-22 18:50:00
13878.49132334201,13885.44975810195,13886.91873877246,13878.39055540731,1684781460000,2023-05-22 18:51:00
13885.34981252704,13888.36171201999,13888.66711333388,13885.34981252704,1684781520000,2023-05-22 18:52:00
13888.40416132224,13883.39895419143,13888.42048341567,13883.00485243392,1684781580000,2023-05-22 18:53:00
13883.30336369561,13878.92481961293,13884.54244072817,13878.89825884273,1684781640000,2023-05-22 18:54:00
13877.99180091071,13862.70517849435,13877.99180091071,13862.03119566511,1684781700000,2023-05-22 18:55:00
